timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/06/02 02:57:28.897, 24 %, 4 %, [N/A]
2025/06/02 02:57:35.923, 32 %, 7 %, [N/A]
2025/06/02 02:57:41.042, 16 %, 3 %, [N/A]
2025/06/02 02:57:46.287, 26 %, 5 %, [N/A]
2025/06/02 02:57:51.759, 24 %, 4 %, [N/A]
2025/06/02 02:57:56.811, 26 %, 7 %, [N/A]
2025/06/02 02:58:02.077, 26 %, 5 %, [N/A]
2025/06/02 02:58:07.107, 32 %, 6 %, [N/A]
2025/06/02 02:58:12.379, 29 %, 6 %, [N/A]
2025/06/02 02:58:17.863, 31 %, 6 %, [N/A]
2025/06/02 02:58:22.929, 31 %, 6 %, [N/A]
2025/06/02 02:58:28.009, 29 %, 5 %, [N/A]
2025/06/02 02:58:33.258, 28 %, 5 %, [N/A]
2025/06/02 02:58:38.435, 28 %, 5 %, [N/A]
2025/06/02 02:58:43.588, 29 %, 5 %, [N/A]
2025/06/02 02:58:48.660, 29 %, 5 %, [N/A]
2025/06/02 02:58:53.797, 28 %, 5 %, [N/A]
2025/06/02 02:58:59.127, 29 %, 5 %, [N/A]
2025/06/02 02:59:04.406, 24 %, 4 %, [N/A]
2025/06/02 02:59:09.418, 31 %, 6 %, [N/A]
2025/06/02 02:59:14.476, 27 %, 5 %, [N/A]
2025/06/02 02:59:19.744, 21 %, 4 %, [N/A]
2025/06/02 02:59:25.028, 18 %, 3 %, [N/A]
2025/06/02 02:59:30.475, 34 %, 6 %, [N/A]
2025/06/02 02:59:36.096, 31 %, 6 %, [N/A]
2025/06/02 02:59:41.611, 31 %, 6 %, [N/A]
2025/06/02 02:59:46.901, 32 %, 6 %, [N/A]
2025/06/02 02:59:52.289, 29 %, 6 %, [N/A]
2025/06/02 02:59:57.345, 28 %, 5 %, [N/A]
2025/06/02 03:00:02.560, 29 %, 6 %, [N/A]
2025/06/02 03:00:07.578, 29 %, 6 %, [N/A]
2025/06/02 03:00:12.788, 27 %, 5 %, [N/A]
2025/06/02 03:00:18.302, 28 %, 5 %, [N/A]
2025/06/02 03:00:23.528, 30 %, 6 %, [N/A]
2025/06/02 03:00:28.749, 34 %, 7 %, [N/A]
2025/06/02 03:00:34.077, 26 %, 5 %, [N/A]
2025/06/02 03:00:39.589, 26 %, 4 %, [N/A]
2025/06/02 03:00:44.989, 23 %, 4 %, [N/A]
2025/06/02 03:00:50.249, 24 %, 4 %, [N/A]
2025/06/02 03:00:55.694, 24 %, 4 %, [N/A]
2025/06/02 03:01:00.727, 26 %, 5 %, [N/A]
2025/06/02 03:01:05.896, 29 %, 5 %, [N/A]
2025/06/02 03:01:11.176, 25 %, 4 %, [N/A]
2025/06/02 03:01:16.530, 25 %, 4 %, [N/A]
2025/06/02 03:01:21.930, 29 %, 5 %, [N/A]
2025/06/02 03:01:27.182, 25 %, 5 %, [N/A]
2025/06/02 03:01:32.304, 22 %, 4 %, [N/A]
2025/06/02 03:01:37.724, 24 %, 4 %, [N/A]
2025/06/02 03:01:43.358, 27 %, 5 %, [N/A]
2025/06/02 03:01:48.747, 25 %, 5 %, [N/A]
2025/06/02 03:01:53.870, 25 %, 4 %, [N/A]
2025/06/02 03:01:58.980, 28 %, 5 %, [N/A]
2025/06/02 03:02:04.154, 32 %, 6 %, [N/A]
2025/06/02 03:02:09.208, 31 %, 6 %, [N/A]
2025/06/02 03:02:14.224, 35 %, 7 %, [N/A]
2025/06/02 03:02:19.278, 35 %, 7 %, [N/A]
2025/06/02 03:02:24.339, 31 %, 7 %, [N/A]
2025/06/02 03:02:29.364, 32 %, 7 %, [N/A]
2025/06/02 03:02:34.378, 32 %, 6 %, [N/A]
2025/06/02 03:02:39.407, 32 %, 6 %, [N/A]
2025/06/02 03:02:44.421, 30 %, 6 %, [N/A]
2025/06/02 03:02:49.429, 31 %, 6 %, [N/A]
2025/06/02 03:02:54.440, 33 %, 7 %, [N/A]
2025/06/02 03:02:59.463, 32 %, 7 %, [N/A]
2025/06/02 03:03:04.471, 35 %, 7 %, [N/A]
2025/06/02 03:03:09.496, 34 %, 7 %, [N/A]
2025/06/02 03:03:14.509, 34 %, 7 %, [N/A]
2025/06/02 03:03:19.549, 30 %, 6 %, [N/A]
2025/06/02 03:03:24.573, 36 %, 8 %, [N/A]
2025/06/02 03:03:29.579, 36 %, 8 %, [N/A]
2025/06/02 03:03:34.612, 33 %, 7 %, [N/A]
2025/06/02 03:03:39.633, 36 %, 8 %, [N/A]
2025/06/02 03:03:44.671, 35 %, 8 %, [N/A]
2025/06/02 03:03:49.691, 35 %, 7 %, [N/A]
2025/06/02 03:03:54.709, 36 %, 8 %, [N/A]
2025/06/02 03:03:59.746, 36 %, 8 %, [N/A]
2025/06/02 03:04:04.798, 34 %, 7 %, [N/A]
2025/06/02 03:04:10.107, 33 %, 6 %, [N/A]
2025/06/02 03:04:15.179, 33 %, 7 %, [N/A]
2025/06/02 03:04:20.200, 34 %, 7 %, [N/A]
2025/06/02 03:04:25.303, 35 %, 7 %, [N/A]
2025/06/02 03:04:30.316, 34 %, 7 %, [N/A]
2025/06/02 03:04:35.349, 37 %, 8 %, [N/A]
2025/06/02 03:04:40.386, 33 %, 8 %, [N/A]
2025/06/02 03:04:45.429, 31 %, 7 %, [N/A]
2025/06/02 03:04:50.455, 35 %, 7 %, [N/A]
2025/06/02 03:04:55.476, 35 %, 7 %, [N/A]
2025/06/02 03:05:00.505, 32 %, 6 %, [N/A]
2025/06/02 03:05:05.528, 33 %, 6 %, [N/A]
2025/06/02 03:05:10.543, 35 %, 6 %, [N/A]
2025/06/02 03:05:15.557, 33 %, 7 %, [N/A]
2025/06/02 03:05:20.580, 35 %, 7 %, [N/A]
2025/06/02 03:05:25.661, 35 %, 8 %, [N/A]
2025/06/02 03:05:30.670, 32 %, 7 %, [N/A]
2025/06/02 03:05:35.725, 35 %, 7 %, [N/A]
2025/06/02 03:05:40.729, 35 %, 8 %, [N/A]
2025/06/02 03:05:45.747, 32 %, 6 %, [N/A]
2025/06/02 03:05:50.811, 34 %, 7 %, [N/A]
2025/06/02 03:05:55.825, 35 %, 8 %, [N/A]
2025/06/02 03:06:00.922, 31 %, 6 %, [N/A]
2025/06/02 03:06:05.999, 37 %, 8 %, [N/A]
2025/06/02 03:06:11.025, 35 %, 7 %, [N/A]
2025/06/02 03:06:16.043, 35 %, 7 %, [N/A]
2025/06/02 03:06:21.062, 36 %, 7 %, [N/A]
2025/06/02 03:06:26.076, 34 %, 7 %, [N/A]
2025/06/02 03:06:31.119, 36 %, 7 %, [N/A]
2025/06/02 03:06:36.143, 37 %, 8 %, [N/A]
2025/06/02 03:06:41.178, 32 %, 7 %, [N/A]
2025/06/02 03:06:46.197, 36 %, 8 %, [N/A]
2025/06/02 03:06:51.225, 35 %, 7 %, [N/A]
2025/06/02 03:06:56.259, 33 %, 7 %, [N/A]
2025/06/02 03:07:01.307, 36 %, 7 %, [N/A]
2025/06/02 03:07:06.337, 36 %, 7 %, [N/A]
2025/06/02 03:07:11.363, 33 %, 6 %, [N/A]
2025/06/02 03:07:16.378, 35 %, 7 %, [N/A]
2025/06/02 03:07:21.399, 36 %, 8 %, [N/A]
2025/06/02 03:07:26.462, 33 %, 6 %, [N/A]
2025/06/02 03:07:31.507, 34 %, 6 %, [N/A]
2025/06/02 03:07:36.569, 34 %, 7 %, [N/A]
2025/06/02 03:07:41.598, 32 %, 7 %, [N/A]
2025/06/02 03:07:46.679, 34 %, 7 %, [N/A]
2025/06/02 03:07:51.699, 33 %, 7 %, [N/A]
2025/06/02 03:07:56.708, 31 %, 6 %, [N/A]
2025/06/02 03:08:01.713, 35 %, 7 %, [N/A]
2025/06/02 03:08:06.722, 34 %, 7 %, [N/A]
2025/06/02 03:08:11.741, 28 %, 5 %, [N/A]
2025/06/02 03:08:16.755, 35 %, 7 %, [N/A]
2025/06/02 03:08:21.763, 36 %, 7 %, [N/A]
2025/06/02 03:08:26.800, 34 %, 7 %, [N/A]
2025/06/02 03:08:31.823, 34 %, 7 %, [N/A]
2025/06/02 03:08:36.848, 36 %, 7 %, [N/A]
2025/06/02 03:08:41.881, 31 %, 6 %, [N/A]
2025/06/02 03:08:46.908, 36 %, 7 %, [N/A]
2025/06/02 03:08:51.930, 36 %, 7 %, [N/A]
2025/06/02 03:08:56.976, 35 %, 7 %, [N/A]
2025/06/02 03:09:01.994, 37 %, 7 %, [N/A]
2025/06/02 03:09:07.046, 36 %, 8 %, [N/A]
2025/06/02 03:09:12.079, 37 %, 7 %, [N/A]
2025/06/02 03:09:17.099, 36 %, 8 %, [N/A]
2025/06/02 03:09:22.119, 36 %, 7 %, [N/A]
2025/06/02 03:09:27.149, 35 %, 7 %, [N/A]
2025/06/02 03:09:32.189, 36 %, 7 %, [N/A]
2025/06/02 03:09:37.208, 35 %, 7 %, [N/A]
2025/06/02 03:09:42.211, 36 %, 7 %, [N/A]
2025/06/02 03:09:47.223, 36 %, 7 %, [N/A]
2025/06/02 03:09:52.249, 34 %, 7 %, [N/A]
2025/06/02 03:09:57.309, 35 %, 7 %, [N/A]
2025/06/02 03:10:02.323, 36 %, 8 %, [N/A]
2025/06/02 03:10:07.378, 28 %, 5 %, [N/A]
2025/06/02 03:10:12.427, 31 %, 6 %, [N/A]
2025/06/02 03:10:17.434, 32 %, 6 %, [N/A]
2025/06/02 03:10:22.453, 29 %, 5 %, [N/A]
2025/06/02 03:10:27.469, 29 %, 5 %, [N/A]
2025/06/02 03:10:32.634, 30 %, 6 %, [N/A]
2025/06/02 03:10:37.900, 17 %, 3 %, [N/A]
2025/06/02 03:10:42.997, 31 %, 6 %, [N/A]
2025/06/02 03:10:48.006, 9 %, 1 %, [N/A]
2025/06/02 03:10:53.010, 19 %, 9 %, [N/A]
2025/06/02 03:10:58.181, 20 %, 8 %, [N/A]
2025/06/02 03:11:03.429, 11 %, 1 %, [N/A]
